text,daily_install,total_instal
超星学习通网课助手|视频挂机考试答题|全网聚合题库每日自动更新适用于几乎所有专业科目|完全免费永久使用【网课通用版】,14235,655181
超星网课助手[最强题库-精准答题](自动切换),12225,226222
懒人专用，全网VIP视频免费破解去广告、全网音乐直接下载、百度网盘直接下载等多合一版。长期更新，放心使用。,11246,5422769
超星学习通小助手[章节、作业、视频] 支持新版|修复倍速|优化课程切换|支持图片题|收录全平台科目,8717,66704
解锁B站大会员番剧、B站视频解析下载；全网VIP视频免费破解去广告；全网音乐直接下载；油管、Facebook等国外视频解析下载；网盘搜索引擎破解无限下载等,7315,677502
百度网盘简易下载助手（直链下载复活版）,6807,1061590
超星学习通网课助手(多接口)(装这一个就够了),5423,1558501
秒传链接提取,4207,665096
超星学习通考试专用版|考试答题|全网聚合题库每日自动更新适用于几乎所有专业科目|完全免费永久使用【考试专用版】,3793,290292
🔥🔥🔥文本选中复制🔥🔥🔥,3157,639522
智慧树知到网课助手(支持图片题)(可作业)(可考试),2999,911514
"【玩的嗨】VIP工具箱,百度文库解析导出,全网VIP视频免费破解去广告,一站式音乐搜索下载,获取B站封面,下载B站视频等众多功能聚合 长期更新,放心使用",2901,2999042
阿里云盘,2740,26172
智慧树知到网课助手|视频挂机考试答题|全网聚合题库每日自动更新适用于几乎所有专业科目|完全免费永久使用,2642,258396
杀佛观音·全网VIP视频破解免费看·全网最全非VIP视频去广告·极简版,2186,96780
AC-baidu-重定向优化百度搜狗谷歌必应搜索_favicon_双列,2045,2206929
(最新完美版)百度网盘下载助手,1895,225937
超星学习通助手[最新题库](考试专版),1810,906498
网页限制解除,1830,745686
🔥持续更新🔥 CSDN广告完全过滤、人性化脚本优化：🆕 不用再登录了！让你体验令人惊喜的崭新CSDN。,1664,532591
【屏蔽广告】屏蔽谷歌广告、百度广告、知乎广告、隐藏谷歌和百度搜索增强百度搜索结果的各种广告等等（过滤所有采用谷歌联盟和百度联盟等广告联盟的广告）,1672,223100
"全网VIP视频免费破解去广告,支持电视剧免跳出选集、百度文库破解,可自由复制下载、全网音乐直接下载、知乎视频下载等多合一纯净脚本",1635,698283
中国大学MOOC(辅助答题),1443,35860
❤❤❤❤【智慧树】[最新版]❤智慧树知到❤❤网课辅助题库庞大❤❤❤全自动化操作挂机就完事❤❤❤❤,1434,48447
超星学习通助手[最全题库],1375,1797850
百度文库转 Word | 百度文库下载器,1410,270563
超星学习通小工具-可考试-可答题（稳定题库）,1343,92154
豆瓣资源下载大师：1秒搞定豆瓣电影|音乐|图书下载,1183,858112
本地 YouTube 下载器,1091,792105
解析腾讯，优酷，爱奇艺等全网会员视频，vip视频，添加百度网盘超级会员账号共享,1018,84599
中国大学慕课小工具,1005,86898
全网VIP视频免费破解去广告；【百度文库破解】内容复制|文档下载；知乎视频下载；YouTube油管播放助手,948,100875
解除B站区域限制,884,1669832
计时器掌控者|视频广告跳过|视频广告加速器,882,479702
超星网课助手/刷课/搜题（支持图片）/考试/all in one(fake题),861,28788
超星学习通网课脚本小程序-自动搜索考试答案，自动切题，自动答题[最强答题][支持图片题],848,110679
超星网课助手[MCD-多接口|倍速可用],757,752697
全网VIP视频破解去广告免费看+全网音乐下载,821,276849
网页限制解除(改),834,1465032
知乎增强,808,156914
bilibili视频下载,734,56892
网课小帮手-智慧树知到(500倍极速)(秒掉见面课),734,57980
U校园英语网课答案显示[修复可用版本],706,5322
全网VIP视频自动解析播放器(已适配手机),697,3829
! 超简洁的网购省钱小助手，自动显示京东、淘宝、聚划算、天猫隐藏优惠券与历史价格。简洁无广告，一目了然，让您告别虚假降价。持续维护中...,696,1118805
超星学习通~🚀刷课脚本插件【倍速播放，支持图片，填空题】,1080,516826
网盘自动填写访问码【威力加强版】,671,750570
Userscript+ : 显示当前网站所有可用的UserJS脚本 Jaeger,648,426845
【粪仔】智慧树知道网课辅助[最新版],635,88850
自动无缝翻页,648,47791
